# maxrange N1 N2 finalcard time(s)
8388027 3506378 5133695 5535704 0.414565 
12707556 5893790 3221210 9288555 0.672747 
15858699 13559842 4246574 15667301 1.115383 
15132002 5794272 7646143 9285923 0.778341 
13144500 3926681 144647 6608082 0.617607 
9908538 9749377 2986613 9905595 0.701888 
4522535 3268134 3001584 4123901 0.289205 
13502215 9876582 8094249 12657613 0.908927 
3755629 1981967 2162541 2926156 0.203736 
8298285 4250149 3722783 6549432 0.456957 
12576335 460457 8687725 900841 0.120744 
3885238 3328477 2416949 3817791 0.270283 
12260289 5700050 10004983 8956028 0.642762 
7392292 905087 4641559 1712376 0.158478 
13053144 10310133 8005654 12567887 0.912180 
2961682 353526 2115379 658753 0.057562 
17453826 16490846 17335835 17365510 1.236376 
10956042 2470926 5035563 4399077 0.458217 
7228023 5609954 1170147 6878430 0.492808 
15526309 3219672 15127873 5453934 0.629940 
9806367 7450637 4005366 9479997 0.677277 
1730690 1108976 510674 1505497 0.105168 
17226057 8517857 1944950 12904996 0.934678 
11328205 7687818 4634027 10215850 0.732843 
16947386 13352640 11097782 16122193 1.142189 
9602726 7774300 3933318 9348758 0.666676 
7056552 6857970 6544513 7050589 0.498645 
10528946 548126 2613395 1069259 0.147008 
17756970 10317201 6261480 14861628 1.068760 
5799631 3501987 112406 4900477 0.349796 
6418627 1188452 4049163 2112277 0.194056 
3439214 2004075 2256994 2898410 0.201695 
12720090 7201812 12131739 10682763 0.753402 
1909610 1573469 1759659 1844131 0.127980 
4152274 699001 3897389 1239942 0.110066 
9356620 7193573 430527 8801006 0.616949 
7077888 6734626 2944342 7062790 0.498407 
17487770 2103524 7912956 3915100 0.504985 
5790417 570534 3953455 1092374 0.126733 
5125849 4747053 3086829 5066691 0.354882 
19473059 12921087 16899683 16594635 1.238720 
18034945 3082213 815998 5705331 0.625933 
3228458 2766453 2831031 3142069 0.220650 
1804289 680015 1567170 1176867 0.083342 
17770478 11561133 12265338 15174456 1.090709 
16334471 9232759 13225912 13305507 0.984196 
5533459 3410706 5066818 4624877 0.329184 
19058025 18944688 13472574 19057374 1.348510 
3631233 1519744 985132 2325483 0.177898 
3003493 517646 1650078 947666 0.087734 
9110699 1998895 7696133 3493905 0.326565 
4275569 2060181 2115094 3099451 0.218269 
10228794 3533773 6160297 5650674 0.473812 
4196431 91323 3438565 180518 0.013580 
2539390 2210202 2121911 2510235 0.176903 
2205057 1779114 1410668 2115266 0.149116 
