# maxrange N1 N2 finalcard time(s)
17870460 2762384 13557608 14139254 0.049071 
8388027 3506378 5133695 6584343 0.029238 
12707556 5893790 3221210 7500834 0.031649 
15858699 13559842 4246574 13953596 0.053033 
15132002 5794272 7646143 10141206 0.050226 
13144500 3926681 144647 4011179 0.007035 
9908538 9749377 2986613 9768203 0.043828 
4522535 3268134 3001584 4008135 0.016647 
13502215 9876582 8094249 12140613 0.065246 
3755629 1981967 2162541 3381851 0.013030 
8298285 4250149 3722783 5523529 0.029416 
12576335 460457 8687725 8848677 0.024732 
3885238 3328477 2416949 3664444 0.014535 
12260289 5700050 10004983 11406015 0.063617 
7392292 905087 4641559 4915011 0.016755 
13053144 10310133 8005654 12078757 0.067972 
2961682 353526 2115379 2202643 0.008059 
17453826 16490846 17335835 17450331 0.054335 
10956042 2470926 5035563 6362441 0.029579 
7228023 5609954 1170147 5812508 0.020883 
15526309 3219672 15127873 15232867 0.044086 
9806367 7450637 4005366 8294548 0.047330 
1730690 1108976 510674 1281817 0.006336 
17226057 8517857 1944950 9073393 0.036185 
11328205 7687818 4634027 9063523 0.056796 
16947386 13352640 11097782 15398004 0.068218 
9602726 7774300 3933318 8496516 0.038897 
7056552 6857970 6544513 7038317 0.021581 
10528946 548126 2613395 3011089 0.008621 
17756970 10317201 6261480 13587782 0.070197 
5799631 3501987 112406 3549925 0.006865 
6418627 1188452 4049163 4501353 0.018250 
3439214 2004075 2256994 2838766 0.015231 
12720090 7201812 12131739 12505145 0.063359 
1909610 1573469 1759659 1885774 0.007110 
4152274 699001 3897389 3942428 0.010664 
9356620 7193573 430527 7300444 0.018421 
7077888 6734626 2944342 6876191 0.028448 
17487770 2103524 7912956 8981501 0.035738 
5790417 570534 3953455 4144446 0.010635 
5125849 4747053 3086829 4992743 0.027792 
19473059 12921087 16899683 18621957 0.100733 
18034945 3082213 815998 3757737 0.012869 
3228458 2766453 2831031 3170448 0.012460 
1804289 680015 1567170 1659978 0.006315 
17770478 11561133 12265338 15795063 0.088145 
16334471 9232759 13225912 14978713 0.073067 
5533459 3410706 5066818 5404131 0.029753 
19058025 18944688 13472574 19020290 0.078838 
3631233 1519744 985132 2061849 0.010323 
3003493 517646 1650078 1859371 0.006976 
9110699 1998895 7696133 7989740 0.030041 
4275569 2060181 2115094 3194072 0.013364 
10228794 3533773 6160297 7395606 0.037114 
4196431 91323 3438565 3454306 0.006838 
2539390 2210202 2121911 2470823 0.009991 
2205057 1779114 1410668 2031209 0.007986 
12796157 6922833 1015791 7129441 0.021214 
6401947 896915 391248 1194853 0.004639 
1035021 244718 423767 551242 0.002891 
19485054 15623576 5540534 16664172 0.077466 
15035325 10790131 4489291 12201244 0.050468 
11653516 6444690 10209307 11055921 0.061826 
7746139 1195193 5566291 5799803 0.019756 
13582338 4187032 6574236 8769018 0.047316 
6039021 5066271 5199297 5920006 0.025609 
1784812 817043 1778921 1780735 0.008229 
2692685 1078886 35459 1100517 0.001950 
3324176 900411 3026439 3105252 0.013013 
6199759 5598594 1906614 5934024 0.022464 
4593499 1802993 1003686 2359128 0.011115 
8663950 6140936 3785710 7236066 0.041730 
5367818 19841 4132051 4136533 0.007289 
12740049 3453698 7878 3459000 0.004917 
19041805 18227299 7723871 18372676 0.062397 
6077375 1643205 3623989 4259367 0.023628 
4133589 22582 553827 572129 0.001371 
9544918 7738379 1519836 7959611 0.024067 
7844822 1843650 4378983 5243569 0.025967 
3124030 1616373 2784804 2953461 0.012830 
11530126 2981095 3865106 5663352 0.031450 
3550253 3364682 654151 3409038 0.010627 
13327814 1112201 7157057 7528821 0.019842 
5138377 68678 5116707 5116842 0.012507 
1727088 195687 1108430 1185202 0.003570 
19806732 14924610 9876377 17085705 0.109163 
9400346 1956083 1663179 3267195 0.013900 
17745691 9680114 8492887 13346874 0.080521 
5122573 1724576 4703769 4812664 0.022029 
10449291 5364509 1528728 6001792 0.022595 
7277217 6045561 1638422 6319707 0.023456 
2575055 1335305 667023 1715105 0.006960 
11378130 8920284 4263701 9641179 0.051572 
10372661 97822 6547279 6574312 0.013053 
7304789 1922319 1565942 3065625 0.012093 
15756851 15056579 5777253 15438802 0.067821 
1767868 1508191 157769 1531365 0.003634 
19639006 6795751 10684219 14086338 0.068148 
12062949 10762517 2212342 11026867 0.041387 
14880226 14279983 8443043 14609267 0.061872 
14290596 10323189 6159673 11922029 0.053864 
14887560 14256716 9797795 14733822 0.074392 
10367770 3681258 1272281 4403901 0.017335 
1066342 952506 12724 953782 0.001654 
17272379 16467444 10896580 16897603 0.092858 
12994984 9820564 9471587 12063715 0.064967 
19344234 15269086 3566391 15595640 0.044562 
12970072 3516894 12335614 12493375 0.042860 
10901063 10769362 7606359 10855579 0.053817 
1250573 404631 926513 1016329 0.004588 
8057522 7257947 7264108 7984472 0.029641 
2945082 1891893 1621230 2522890 0.014940 
5829204 371506 1059543 1359887 0.004543 
19411898 7284298 18745330 19002478 0.088642 
16684278 4348201 7875296 10082021 0.049875 
9679262 5310421 3615505 6533865 0.030983 
1539848 319347 963796 1059241 0.003915 
7026272 5143842 1861546 5641776 0.024028 
17927335 16661101 11972077 17660460 0.089487 
18909365 15009097 15204511 18029343 0.072488 
15311776 4677645 7882562 9818477 0.051295 
13938701 12479889 2170802 12684736 0.042967 
15209933 3374123 11690458 12514103 0.052714 
12862806 2469943 1157196 3395129 0.010082 
9547084 2255872 2667822 4329156 0.017700 
11742698 543541 7952616 8121593 0.019913 
5798898 811967 4037982 4273267 0.016891 
12825171 11624208 7156511 12235176 0.063001 
10752506 4082882 4575598 7059744 0.029690 
2178224 1578821 1456971 1985791 0.010461 
17490000 17083378 10108109 17332067 0.077080 
3945053 3131230 456606 3233033 0.007998 
11671338 6516767 2618652 7964400 0.025901 
12028067 364142 3673910 3884026 0.010351 
7776787 519488 2722995 3048481 0.008767 
2292122 1648205 470507 1793935 0.006860 
11884850 74979 7806640 7832011 0.015741 
15202254 12293634 3321795 12886623 0.057003 
10973813 555476 6131129 6359319 0.016252 
13199181 10655008 13030770 13161574 0.050575 
19015720 759433 2488902 3115277 0.008398 
3590181 1536219 1128917 2068316 0.010444 
15079296 2407545 6360028 7580183 0.030457 
6138722 596458 5321171 5410565 0.016624 
14230297 12211817 12666265 14024820 0.058067 
1443181 842299 411574 984864 0.004003 
2767057 2424454 1885193 2681469 0.013657 
7859999 7681999 2572336 7730539 0.032604 
9475776 3206938 6090161 7020936 0.033905 
15191309 3759541 3722336 6504437 0.034985 
6723382 5177915 4396042 6346554 0.037512 
10313563 2949332 6047599 7085217 0.028430 
17909211 15359227 9928243 17104705 0.106324 
16564285 11912405 15307490 16179580 0.066055 
10794583 2948990 6565662 7838067 0.028847 
4754116 648064 2520188 2846401 0.009669 
7395528 5552743 5575277 6868719 0.033135 
5897490 3456446 2126460 4181864 0.016713 
7889618 791819 7019411 7122160 0.019418 
3080928 482838 1537437 1842835 0.005202 
9804310 8158485 2002798 8603158 0.036018 
12634225 3859940 4684170 7173394 0.034505 
10543437 5352113 3593166 7265081 0.031729 
7107722 4098657 3372968 5536723 0.033101 
10418657 5535919 2033953 6457878 0.028692 
7689126 817409 148495 951063 0.002482 
7726651 7453431 4398160 7641841 0.041405 
8140528 3828143 214414 3921109 0.006971 
9241888 5470818 8785897 9084007 0.052701 
1928577 3792 352542 355574 0.000663 
6755199 546592 1679569 2017757 0.006690 
11126087 8662686 1694880 9020724 0.030920 
4400657 405861 287001 653411 0.002529 
16377017 6072641 1904729 7113960 0.025381 
16491298 11649152 8727673 13523950 0.069561 
16696776 12571925 7271818 14046985 0.065968 
4423428 3723842 559624 3832558 0.010125 
5080308 1290233 3147670 3837988 0.012854 
14322197 12140962 3337244 12790704 0.048064 
16250774 1233689 9013978 9421597 0.030185 
15522325 14493622 6269458 14840413 0.073293 
6648412 4031279 976238 4422676 0.017177 
3565421 1423918 2492249 3031752 0.012740 
19942439 10807823 5426959 13627858 0.064715 
12548159 12327830 9981869 12500651 0.047240 
9001354 8549591 3502938 8775964 0.039623 
2492972 1952805 2276116 2453339 0.009248 
4561852 3341450 3245490 4302365 0.023122 
8375482 1538831 4351443 5037042 0.021377 
7665154 3218669 286531 3336936 0.007078 
10486506 9325635 5961426 10022716 0.044275 
2724790 2429383 1005471 2481457 0.009613 
8323172 5576009 1739345 6146630 0.026454 
16018859 13783661 7852151 14683076 0.077285 
18107280 17289627 1306016 17362800 0.052278 
2146590 2013161 681300 2063093 0.007425 
9725352 6052465 5329327 7955539 0.045900 
19893069 14270341 9921254 16532023 0.093862 
10113083 3589019 2730199 5258045 0.023453 
8189300 7221006 3398638 7509015 0.031588 
14709364 1431841 9422900 9933013 0.032844 
17434154 1228718 14727251 14867087 0.038961 
18273679 927475 13255882 13401534 0.034471 
14292538 9161777 5514496 10815974 0.055318 
4916170 3874146 761574 4022875 0.014041 
7062760 3369209 6446654 6697056 0.034680 
9304465 7838804 5680211 8613776 0.049391 
1713886 1396775 213097 1428449 0.004228 
11826969 3597712 7389360 8709548 0.037359 
12532621 8357453 11729325 12257495 0.054897 
12637289 10150109 12503672 12617221 0.045674 
16734673 8810424 10151526 13864023 0.068596 
7774548 628815 2966825 3309419 0.009784 
12704313 5132822 2546174 6678498 0.030686 
6994949 2144912 150149 2244940 0.005188 
