# maxrange N1 N2 finalcard time(s)
8388027 3506378 5133695 5884060 1.759105 
12707556 5893790 3221210 8735412 2.776726 
15858699 13559842 4246574 15721250 3.694028 
15132002 5794272 7646143 9432470 3.298868 
13144500 3926681 144647 6980518 2.317547 
9908538 9749377 2986613 9905607 2.149485 
4522535 3268134 3001584 4165860 1.134169 
13502215 9876582 8094249 12794600 3.633182 
3755629 1981967 2162541 2935552 0.789402 
8298285 4250149 3722783 6393508 1.900494 
12576335 460457 8687725 883014 0.398628 
3885238 3328477 2416949 3831018 0.935385 
12260289 5700050 10004983 8678746 2.543144 
7392292 905087 4641559 1701207 0.717494 
13053144 10310133 8005654 12460289 3.564062 
2961682 353526 2115379 675940 0.244023 
17453826 16490846 17335835 17400958 4.048342 
10956042 2470926 5035563 4096345 1.472939 
7228023 5609954 1170147 6806662 1.729088 
15526309 3219672 15127873 5982277 1.847383 
9806367 7450637 4005366 9249074 2.652083 
1730690 1108976 510674 1489310 0.396675 
17226057 8517857 1944950 12305168 3.735074 
11328205 7687818 4634027 10435350 2.849715 
16947386 13352640 11097782 16195806 4.304478 
9602726 7774300 3933318 9174695 2.374658 
7056552 6857970 6544513 7048652 1.515019 
10528946 548126 2613395 1075353 0.460407 
17756970 10317201 6261480 14353845 4.138197 
5799631 3501987 112406 4509800 1.401903 
6418627 1188452 4049163 2164486 0.828066 
3439214 2004075 2256994 2757767 0.758056 
12720090 7201812 12131739 10312210 3.210659 
1909610 1573469 1759659 1830510 0.436574 
4152274 699001 3897389 1271537 0.493047 
9356620 7193573 430527 8898981 2.370791 
7077888 6734626 2944342 7067081 1.530371 
17487770 2103524 7912956 4000752 1.659922 
5790417 570534 3953455 1063702 0.451368 
5125849 4747053 3086829 5089644 1.075531 
19473059 12921087 16899683 17035076 4.726738 
18034945 3082213 815998 5621196 2.093660 
3228458 2766453 2831031 3176216 0.753659 
