# maxrange N1 N2 finalcard time(s)
8388027 3506378 5133695 5529635 0.085786 
12707556 5893790 3221210 9424479 0.148483 
15858699 13559842 4246574 15684422 0.248467 
15132002 5794272 7646143 8383822 0.095253 
13144500 3926681 144647 6609189 0.081457 
9908538 9749377 2986613 9907730 0.110626 
4522535 3268134 3001584 4166193 0.047058 
13502215 9876582 8094249 12372401 0.176006 
3755629 1981967 2162541 2805996 0.037962 
8298285 4250149 3722783 6409178 0.085476 
12576335 460457 8687725 892871 0.007922 
3885238 3328477 2416949 3772741 0.039820 
12260289 5700050 10004983 8683216 0.132474 
7392292 905087 4641559 1713967 0.015623 
13053144 10310133 8005654 12152610 0.157935 
2961682 353526 2115379 664477 0.006873 
17453826 16490846 17335835 17387423 0.241738 
10956042 2470926 5035563 4509805 0.049998 
7228023 5609954 1170147 6843934 0.088872 
15526309 3219672 15127873 5858074 0.069783 
9806367 7450637 4005366 9054204 0.116656 
1730690 1108976 510674 1574912 0.020153 
17226057 8517857 1944950 13009993 0.207166 
11328205 7687818 4634027 10165021 0.137692 
16947386 13352640 11097782 16156199 0.233132 
9602726 7774300 3933318 9114733 0.107965 
7056552 6857970 6544513 7052538 0.061003 
10528946 548126 2613395 1065011 0.011236 
17756970 10317201 6261480 14481194 0.222214 
5799631 3501987 112406 4826590 0.070821 
6418627 1188452 4049163 2140655 0.024879 
3439214 2004075 2256994 2772053 0.035106 
12720090 7201812 12131739 10075181 0.137343 
1909610 1573469 1759659 1834671 0.020364 
4152274 699001 3897389 1287363 0.013294 
9356620 7193573 430527 8792780 0.122529 
7077888 6734626 2944342 7058373 0.063483 
17487770 2103524 7912956 3937829 0.033459 
5790417 570534 3953455 1096809 0.010116 
5125849 4747053 3086829 5087871 0.050731 
19473059 12921087 16899683 17180109 0.314188 
18034945 3082213 815998 5480824 0.060457 
3228458 2766453 2831031 3162777 0.032601 
1804289 680015 1567170 1018683 0.011076 
17770478 11561133 12265338 15692245 0.226336 
16334471 9232759 13225912 13153609 0.183018 
5533459 3410706 5066818 4720744 0.067796 
19058025 18944688 13472574 19056990 0.232506 
3631233 1519744 985132 2420092 0.032162 
3003493 517646 1650078 960843 0.008667 
9110699 1998895 7696133 3644472 0.036081 
4275569 2060181 2115094 3285911 0.036556 
10228794 3533773 6160297 5951794 0.067817 
4196431 91323 3438565 180126 0.001439 
2539390 2210202 2121911 2514936 0.030174 
2205057 1779114 1410668 2121473 0.025715 
12796157 6922833 1015791 9734185 0.128179 
6401947 896915 391248 1673315 0.015088 
1035021 244718 423767 448400 0.004129 
19485054 15623576 5540534 19110658 0.325199 
15035325 10790131 4489291 13767299 0.178080 
11653516 6444690 10209307 9230855 0.147885 
